Name,Setpoint,Feedback,Time Stamp,Maxforce,Rendering,Time Interval,Rendering Type
M1_1,24.0,1.0,2024-10-11 19:09:35,1.0,5.0,22.0,Stiffness
M1_1,32.0,0.8823529411764706,2024-10-11 19:10:19,0.5,4.0,23.0,Stiffness
M1_1,24.0,0.0,2024-10-11 19:10:38,0.0,0.0,19.0,"Impedence, Stiffness"
M1_1,40.0,0.5294117647058824,2024-10-11 19:11:00,0.3,3.0,22.0,Stiffness
M1_2,24.0,0.9375,2024-10-11 19:12:21,1.0,5.0,0.0,Stiffness
M1_2,32.0,0.75,2024-10-11 19:12:39,0.5,4.0,18.0,Stiffness
M1_2,32.0,0.0,2024-10-11 19:12:56,0.0,0.0,17.0,"Impedence, Stiffness"
M1_2,32.0,0.8125,2024-10-11 19:13:39,1.0,5.0,19.0,Stiffness
M1_2,32.0,0.75,2024-10-11 19:14:43,0.3,3.0,23.0,Stiffness
M1_2,40.0,0.8125,2024-10-11 19:15:30,0.5,4.0,22.0,Stiffness
M1_2,40.0,0.9375,2024-10-11 19:16:10,1.0,5.0,19.0,Stiffness
M1_2,32.0,0.25,2024-10-11 19:16:29,0.1,2.0,19.0,Stiffness
M1_2,40.0,0.0,2024-10-11 19:17:25,0.0,0.0,18.0,"Impedence, Stiffness"
M1_2,24.0,1.0,2024-10-11 19:18:02,0.5,4.0,18.0,Stiffness
M1_2,40.0,0.6875,2024-10-11 19:18:51,0.3,3.0,22.0,Stiffness
M1_2,24.0,0.8125,2024-10-11 19:20:09,0.3,3.0,21.0,Stiffness
M1_2,24.0,0.125,2024-10-11 19:20:32,0.1,2.0,23.0,Stiffness
M1_2,40.0,0.375,2024-10-11 19:20:52,0.1,2.0,20.0,Stiffness
M1_2,24.0,0.0,2024-10-11 19:21:09,0.0,0.0,17.0,"Impedence, Stiffness"
M1_3,40.0,0.1333333333333333,2024-10-11 19:22:16,0.1,2.0,0.0,Stiffness
M1_3,40.0,0.9333333333333332,2024-10-11 19:22:51,1.0,5.0,18.0,Stiffness
