Name,Setpoint,Feedback,Time Stamp,Maxforce,Rendering,Time Interval,Rendering Type,using
M2_1,24.0,0.7468354430379747,2024-10-11 20:01:36,0.3,0.0,22.0,Impedence,0
M2_1,40.0,0.7468354430379747,2024-10-11 20:01:57,0.5,0.0,21.0,Impedence,0
M2_1,32.0,0.240506329113924,2024-10-11 20:03:24,0.1,0.0,20.0,Impedence,0
M2_1,40.0,0.4936708860759494,2024-10-11 20:03:47,0.3,0.0,23.0,Impedence,0
M2_1,32.0,0.050632911392405,2024-10-11 20:04:34,0.0,0.0,24.0,"Impedence, Stiffness",0
M2_2,40.0,0.1772151898734177,2024-10-11 20:07:04,0.0,0.0,0.0,"Impedence, Stiffness",0
M2_2,32.0,0.9367088607594936,2024-10-11 20:07:51,0.3,0.0,23.0,Impedence,0
M2_2,40.0,0.430379746835443,2024-10-11 20:08:14,1.0,0.0,23.0,Impedence,0
M2_2,24.0,0.7468354430379747,2024-10-11 20:08:36,0.3,0.0,22.0,Impedence,0
M2_2,24.0,0.240506329113924,2024-10-11 20:08:57,1.0,0.0,21.0,Impedence,0
M2_2,32.0,0.3670886075949367,2024-10-11 20:09:43,1.0,0.0,23.0,Impedence,0
M2_2,40.0,0.3670886075949367,2024-10-11 20:11:10,0.1,0.0,22.0,Impedence,0
M2_2,24.0,0.0,2024-10-11 20:13:24,0.0,0.0,21.0,"Impedence, Stiffness",0
M2_2,40.0,0.1772151898734177,2024-10-11 20:13:48,0.3,0.0,24.0,Impedence,0
M2_2,40.0,0.430379746835443,2024-10-11 20:14:08,0.5,0.0,20.0,Impedence,0
M2_2,24.0,0.4936708860759494,2024-10-11 20:14:49,0.5,0.0,21.0,Impedence,0
M2_2,32.0,0.3037974683544304,2024-10-11 20:15:08,0.0,0.0,19.0,"Impedence, Stiffness",0
M2_2,32.0,0.5569620253164557,2024-10-11 20:15:30,0.1,0.0,22.0,Impedence,0
M2_2,24.0,0.4936708860759494,2024-10-11 20:16:18,0.1,0.0,23.0,Impedence,0
M2_2,32.0,0.9367088607594936,2024-10-11 20:16:37,0.5,0.0,19.0,Impedence,0
M2_3,24.0,0.0526315789473684,2024-10-11 20:19:21,0.0,0.0,0.0,"Impedence, Stiffness",0
M2_3,24.0,0.7894736842105263,2024-10-11 20:19:40,0.1,0.0,19.0,Impedence,0
M2_3,24.0,0.6842105263157895,2024-10-11 20:20:00,0.5,0.0,20.0,Impedence,0
M2_3,24.0,0.2631578947368421,2024-10-11 20:20:39,0.3,0.0,19.0,Impedence,0
M2_3,24.0,0.1052631578947368,2024-10-11 20:22:23,1.0,0.0,22.0,Impedence,0
M2_3,40.0,0.0,2024-10-11 20:23:02,0.0,0.0,17.0,"Impedence, Stiffness",0
M2_3,40.0,0.1578947368421052,2024-10-11 20:23:23,1.0,0.0,21.0,Impedence,0
M2_3,40.0,0.1052631578947368,2024-10-11 20:24:11,0.1,0.0,23.0,Impedence,0
M2_3,32.0,0.1578947368421052,2024-10-11 20:25:31,0.5,0.0,19.0,Impedence,0
M2_3,32.0,0.2105263157894736,2024-10-11 20:26:15,1.0,0.0,24.0,Impedence,0
M2_3,40.0,0.2105263157894736,2024-10-11 20:26:35,0.3,0.0,20.0,Impedence,0
M2_3,32.0,0.2631578947368421,2024-10-11 20:26:56,0.1,0.0,21.0,Impedence,0
M2_3,32.0,0.5263157894736842,2024-10-11 20:27:18,0.3,0.0,22.0,Impedence,0
M2_3,32.0,0.0,2024-10-11 20:27:37,0.0,0.0,19.0,"Impedence, Stiffness",0
M2_3,40.0,0.3684210526315789,2024-10-11 20:27:57,0.5,0.0,20.0,Impedence,0
F1_1,24.0,0.8461538461538461,2024-10-10 15:05:10,0.3,3.0,23.0,Stiffness,0
F1_1,32.0,0.8769230769230769,2024-10-10 15:07:03,0.3,3.0,19.0,Stiffness,0
F1_1,32.0,0.5692307692307692,2024-10-10 15:07:26,0.1,2.0,23.0,Stiffness,0
F1_1,40.0,1.0,2024-10-10 15:08:43,0.3,3.0,19.0,Stiffness,0
F1_1,24.0,0.0307692307692307,2024-10-10 15:09:07,0.0,0.0,24.0,"Impedence, Stiffness",0
F1_1,24.0,0.8769230769230769,2024-10-10 15:09:30,0.5,4.0,23.0,Stiffness,0
F1_1,40.0,0.0,2024-10-10 15:10:17,0.0,0.0,21.0,"Impedence, Stiffness",0
F1_1,32.0,0.8923076923076924,2024-10-10 15:10:42,1.0,5.0,25.0,Stiffness,0
F1_1,40.0,0.8,2024-10-10 15:11:29,0.5,4.0,26.0,Stiffness,0
F1_1,32.0,0.8461538461538461,2024-10-10 15:11:50,0.5,4.0,21.0,Stiffness,0
F1_1,24.0,0.8,2024-10-10 15:12:36,1.0,5.0,24.0,Stiffness,0
F1_1,40.0,0.8615384615384616,2024-10-10 15:13:41,0.1,2.0,20.0,Stiffness,0
F1_1,24.0,0.7538461538461538,2024-10-10 15:14:10,0.1,2.0,29.0,Stiffness,0
F1_1,32.0,0.0,2024-10-10 15:14:31,0.0,0.0,21.0,"Impedence, Stiffness",0
F1_1,40.0,0.9076923076923076,2024-10-10 15:14:51,1.0,5.0,20.0,Stiffness,0
F1_2,32.0,0.015625,2024-10-10 15:15:42,0.0,0.0,0.0,"Impedence, Stiffness",0
F1_2,32.0,0.875,2024-10-10 15:16:25,0.3,3.0,18.0,Stiffness,0
F1_2,24.0,0.875,2024-10-10 15:17:11,0.1,2.0,26.0,Stiffness,0
F1_2,40.0,0.921875,2024-10-10 15:17:31,1.0,5.0,20.0,Stiffness,0
F1_2,24.0,0.984375,2024-10-10 15:17:53,0.3,3.0,22.0,Stiffness,0
F1_2,32.0,0.921875,2024-10-10 15:18:22,1.0,5.0,29.0,Stiffness,0
F1_2,40.0,0.671875,2024-10-10 15:18:47,0.1,2.0,25.0,Stiffness,0
F1_2,24.0,1.0,2024-10-10 15:19:50,1.0,5.0,19.0,Stiffness,0
F1_2,32.0,0.9375,2024-10-10 15:20:39,0.5,4.0,27.0,Stiffness,0
F1_2,32.0,0.609375,2024-10-10 15:21:00,0.1,2.0,21.0,Stiffness,0
F1_2,40.0,0.921875,2024-10-10 15:21:21,0.5,4.0,21.0,Stiffness,0
F1_2,40.0,0.0,2024-10-10 15:23:14,0.0,0.0,19.0,"Impedence, Stiffness",0
F1_2,40.0,0.875,2024-10-10 15:23:38,0.3,3.0,24.0,Stiffness,0
F1_2,24.0,0.046875,2024-10-10 15:24:48,0.0,0.0,19.0,"Impedence, Stiffness",0
F1_2,24.0,0.90625,2024-10-10 15:25:10,0.5,4.0,22.0,Stiffness,0
F1_3,24.0,0.9047619047619048,2024-10-10 15:31:54,0.3,3.0,18.0,Stiffness,0
F1_3,24.0,0.4761904761904761,2024-10-10 15:32:16,0.1,2.0,22.0,Stiffness,0
F1_3,40.0,0.0,2024-10-10 15:33:40,0.0,0.0,19.0,"Impedence, Stiffness",0
F1_3,24.0,0.8888888888888888,2024-10-10 15:34:03,1.0,5.0,23.0,Stiffness,0
F1_3,40.0,0.9523809523809524,2024-10-10 15:34:24,1.0,5.0,21.0,Stiffness,0
F1_3,24.0,1.0,2024-10-10 15:34:41,0.5,4.0,17.0,Stiffness,0
F1_3,32.0,0.0158730158730158,2024-10-10 15:36:35,0.0,0.0,19.0,"Impedence, Stiffness",0
F1_3,32.0,0.8571428571428571,2024-10-10 15:36:56,1.0,5.0,21.0,Stiffness,0
F1_3,32.0,0.8888888888888888,2024-10-10 15:37:21,0.5,4.0,25.0,Stiffness,0
F1_3,24.0,0.0634920634920634,2024-10-10 15:38:03,0.0,0.0,23.0,"Impedence, Stiffness",0
F1_3,40.0,0.9047619047619048,2024-10-10 15:38:31,0.5,4.0,28.0,Stiffness,0
F1_3,32.0,0.8412698412698413,2024-10-10 15:39:29,0.3,3.0,24.0,Stiffness,0
F1_3,40.0,0.8888888888888888,2024-10-10 15:40:15,0.3,3.0,24.0,Stiffness,0
F1_3,32.0,0.6190476190476191,2024-10-10 15:40:42,0.1,2.0,27.0,Stiffness,0
F1_3,40.0,0.6984126984126984,2024-10-10 15:41:09,0.1,2.0,27.0,Stiffness,0
F2_1,32.0,0.6666666666666666,2024-10-10 17:10:25,0.5,4.0,0.0,Stiffness,0
F2_1,24.0,1.0,2024-10-10 17:10:50,1.0,5.0,25.0,Stiffness,0
F2_1,40.0,0.8333333333333334,2024-10-10 17:11:15,0.3,3.0,25.0,Stiffness,0
F2_1,32.0,0.1666666666666666,2024-10-10 17:12:39,1.0,5.0,21.0,Stiffness,0
F2_1,32.0,0.3333333333333333,2024-10-10 17:12:59,0.3,3.0,20.0,Stiffness,0
F2_1,24.0,0.3333333333333333,2024-10-10 17:14:12,0.1,2.0,25.0,Stiffness,0
F2_1,32.0,0.1,2024-10-10 17:14:34,0.0,0.0,22.0,"Impedence, Stiffness",0
F2_1,24.0,0.1,2024-10-10 17:14:57,0.0,0.0,23.0,"Impedence, Stiffness",0
F2_1,40.0,0.0,2024-10-10 17:15:22,0.0,0.0,25.0,"Impedence, Stiffness",0
F2_1,40.0,0.5,2024-10-10 17:17:30,0.1,2.0,25.0,Stiffness,0
F2_1,24.0,0.4333333333333333,2024-10-10 17:17:57,0.5,4.0,27.0,Stiffness,0
F2_1,40.0,0.3333333333333333,2024-10-10 17:18:16,0.5,4.0,19.0,Stiffness,0
F2_1,24.0,0.5666666666666668,2024-10-10 17:18:43,0.3,3.0,27.0,Stiffness,0
F2_1,32.0,0.3333333333333333,2024-10-10 17:19:03,0.1,2.0,20.0,Stiffness,0
F2_1,40.0,0.0333333333333333,2024-10-10 17:20:29,1.0,5.0,23.0,Stiffness,0
F2_2,32.0,0.8181818181818181,2024-10-10 17:22:09,0.5,4.0,22.0,Stiffness,0
F2_2,24.0,0.8181818181818181,2024-10-10 17:22:32,0.3,3.0,23.0,Stiffness,0
F2_2,32.0,0.8181818181818181,2024-10-10 17:23:44,1.0,5.0,19.0,Stiffness,0
F2_2,32.0,0.3636363636363636,2024-10-10 17:24:37,0.0,0.0,28.0,"Impedence, Stiffness",0
F2_2,40.0,0.5454545454545454,2024-10-10 17:25:20,0.5,4.0,22.0,Stiffness,0
F2_2,40.0,0.4545454545454545,2024-10-10 17:25:40,0.3,3.0,20.0,Stiffness,0
F2_2,32.0,1.0,2024-10-10 17:26:05,0.1,2.0,25.0,Stiffness,0
F2_2,40.0,0.7272727272727272,2024-10-10 17:26:31,1.0,5.0,26.0,Stiffness,0
F2_2,40.0,0.0909090909090908,2024-10-10 17:26:58,0.0,0.0,27.0,"Impedence, Stiffness",0
F2_2,32.0,0.8181818181818181,2024-10-10 17:27:19,0.3,3.0,21.0,Stiffness,0
F2_2,24.0,0.4545454545454545,2024-10-10 17:27:43,1.0,5.0,24.0,Stiffness,0
F2_2,24.0,0.5454545454545454,2024-10-10 17:28:05,0.1,2.0,22.0,Stiffness,0
F2_2,40.0,0.5454545454545454,2024-10-10 17:29:06,0.1,2.0,34.0,Stiffness,0
F2_2,24.0,0.0,2024-10-10 17:29:30,0.0,0.0,24.0,"Impedence, Stiffness",0
F2_2,24.0,0.4545454545454545,2024-10-10 17:31:45,0.5,4.0,27.0,Stiffness,0
F2_3,32.0,0.3750000000000001,2024-10-10 17:34:17,0.5,4.0,16.0,Stiffness,0
F2_3,24.0,0.6250000000000002,2024-10-10 17:34:48,0.5,4.0,31.0,Stiffness,0
F2_3,32.0,0.8750000000000001,2024-10-10 17:35:19,0.1,2.0,31.0,Stiffness,0
F2_3,24.0,0.0,2024-10-10 17:37:29,0.0,0.0,21.0,"Impedence, Stiffness",0
F2_3,40.0,1.0,2024-10-10 17:37:56,0.5,4.0,27.0,Stiffness,0
F2_3,40.0,0.8750000000000001,2024-10-10 17:38:21,1.0,5.0,25.0,Stiffness,0
F2_3,40.0,0.3750000000000001,2024-10-10 17:38:44,0.3,3.0,23.0,Stiffness,0
F2_3,32.0,0.5000000000000001,2024-10-10 17:39:16,1.0,5.0,32.0,Stiffness,0
F2_3,32.0,0.1249999999999999,2024-10-10 17:39:36,0.0,0.0,20.0,"Impedence, Stiffness",0
F2_3,24.0,0.3750000000000001,2024-10-10 17:40:15,1.0,5.0,39.0,Stiffness,0
F2_3,40.0,0.1249999999999999,2024-10-10 17:41:07,0.1,2.0,25.0,Stiffness,0
F2_3,24.0,0.2500000000000001,2024-10-10 17:42:18,0.1,2.0,38.0,Stiffness,0
F2_3,40.0,0.0,2024-10-10 17:43:34,0.0,0.0,31.0,"Impedence, Stiffness",0
F2_3,32.0,0.1249999999999999,2024-10-10 17:44:06,0.3,3.0,32.0,Stiffness,0
F2_3,24.0,0.3750000000000001,2024-10-10 17:46:23,0.3,3.0,30.0,Stiffness,0
M2_1,32.0,0.3670886075949367,2024-10-11 19:56:05,0.1,2.0,0.0,Stiffness,0
M2_1,40.0,0.0,2024-10-11 19:56:48,0.0,0.0,20.0,"Impedence, Stiffness",0
M2_1,32.0,0.8734177215189873,2024-10-11 19:57:28,0.3,3.0,19.0,Stiffness,0
M2_1,40.0,0.240506329113924,2024-10-11 19:57:49,0.1,2.0,21.0,Stiffness,0
M2_1,40.0,0.1139240506329113,2024-10-11 19:58:28,0.3,3.0,21.0,Stiffness,0
M2_1,40.0,0.620253164556962,2024-10-11 19:59:32,1.0,5.0,23.0,Stiffness,0
M2_1,24.0,0.9367088607594936,2024-10-11 20:00:36,0.3,3.0,22.0,Stiffness,0
M2_1,24.0,0.0,2024-10-11 20:00:55,0.0,0.0,19.0,"Impedence, Stiffness",0
M2_1,32.0,0.1772151898734177,2024-10-11 20:02:20,0.5,4.0,23.0,Stiffness,0
M2_1,24.0,0.3670886075949367,2024-10-11 20:02:41,1.0,5.0,21.0,Stiffness,0
M2_1,32.0,0.6835443037974683,2024-10-11 20:03:04,1.0,5.0,23.0,Stiffness,0
M2_1,24.0,0.3670886075949367,2024-10-11 20:04:10,0.1,2.0,23.0,Stiffness,0
M2_1,32.0,0.050632911392405,2024-10-11 20:04:34,0.0,0.0,24.0,"Impedence, Stiffness",0
M2_1,24.0,1.0,2024-10-11 20:04:53,0.5,4.0,19.0,Stiffness,0
M2_1,40.0,0.8734177215189873,2024-10-11 20:05:20,0.5,4.0,27.0,Stiffness,0
M2_2,40.0,0.1772151898734177,2024-10-11 20:07:04,0.0,0.0,0.0,"Impedence, Stiffness",0
M2_2,24.0,0.9367088607594936,2024-10-11 20:07:28,1.0,5.0,24.0,Stiffness,0
M2_2,32.0,0.5569620253164557,2024-10-11 20:09:20,0.5,4.0,23.0,Stiffness,0
M2_2,40.0,0.620253164556962,2024-10-11 20:10:07,0.3,3.0,24.0,Stiffness,0
M2_2,24.0,0.8734177215189873,2024-10-11 20:10:27,0.1,2.0,20.0,Stiffness,0
M2_2,32.0,0.7468354430379747,2024-10-11 20:10:48,0.3,3.0,21.0,Stiffness,0
M2_2,24.0,0.430379746835443,2024-10-11 20:11:33,0.3,3.0,23.0,Stiffness,0
M2_2,32.0,0.1772151898734177,2024-10-11 20:11:54,0.1,2.0,21.0,Stiffness,0
M2_2,40.0,0.7468354430379747,2024-10-11 20:12:15,0.1,2.0,21.0,Stiffness,0
M2_2,32.0,1.0,2024-10-11 20:12:37,1.0,5.0,22.0,Stiffness,0
M2_2,40.0,0.6835443037974683,2024-10-11 20:13:03,1.0,5.0,26.0,Stiffness,0
M2_2,24.0,0.0,2024-10-11 20:13:24,0.0,0.0,21.0,"Impedence, Stiffness",0
M2_2,24.0,0.7468354430379747,2024-10-11 20:14:28,0.5,4.0,20.0,Stiffness,0
M2_2,32.0,0.3037974683544304,2024-10-11 20:15:08,0.0,0.0,19.0,"Impedence, Stiffness",0
M2_2,40.0,0.6835443037974683,2024-10-11 20:15:55,0.5,4.0,25.0,Stiffness,0
M2_3,24.0,0.0526315789473684,2024-10-11 20:19:21,0.0,0.0,0.0,"Impedence, Stiffness",0
M2_3,32.0,1.0,2024-10-11 20:20:20,0.5,4.0,20.0,Stiffness,0
M2_3,40.0,0.6842105263157895,2024-10-11 20:21:00,0.5,4.0,21.0,Stiffness,0
M2_3,40.0,0.5789473684210527,2024-10-11 20:21:23,0.3,3.0,23.0,Stiffness,0
M2_3,24.0,0.6842105263157895,2024-10-11 20:21:43,1.0,5.0,20.0,Stiffness,0
M2_3,32.0,0.3157894736842105,2024-10-11 20:22:01,1.0,5.0,18.0,Stiffness,0
M2_3,32.0,0.3684210526315789,2024-10-11 20:22:45,0.3,3.0,22.0,Stiffness,0
M2_3,40.0,0.0,2024-10-11 20:23:02,0.0,0.0,17.0,"Impedence, Stiffness",0
M2_3,24.0,0.7894736842105263,2024-10-11 20:23:48,0.3,3.0,25.0,Stiffness,0
M2_3,40.0,0.8947368421052632,2024-10-11 20:24:31,1.0,5.0,20.0,Stiffness,0
M2_3,24.0,0.7894736842105263,2024-10-11 20:24:53,0.5,4.0,22.0,Stiffness,0
M2_3,32.0,0.4736842105263157,2024-10-11 20:25:12,0.1,2.0,19.0,Stiffness,0
M2_3,24.0,0.4736842105263157,2024-10-11 20:25:51,0.1,2.0,20.0,Stiffness,0
M2_3,32.0,0.0,2024-10-11 20:27:37,0.0,0.0,19.0,"Impedence, Stiffness",0
M2_3,40.0,0.7368421052631579,2024-10-11 20:28:17,0.1,2.0,20.0,Stiffness,0
